date,AAPL,COST,F,GE,GS,JNJ,KO,TSLA,WMT
2015-06-12,121.7889492051,135.30089610506,13.218255110129,25.242887108131,206.42870866602,91.847162334198,37.134576810505,250.69,67.952159582884
2015-06-15,121.54952766463,133.78975336862,13.062031477836,25.076997379052,205.16916993859,91.044024971641,36.790738136334,250.38,67.483071086523
2015-06-16,122.20075425471,134.5209514669,13.018636024422,25.086213475112,206.91314663811,91.856501140739,37.246092056182,253.12,67.877105423467
2015-06-17,121.91344840615,135.39351453084,13.035994205788,25.132293955412,206.30275479328,92.202036982769,37.422657861838,260.41,68.233612680701
2015-06-18,122.46890638003,136.97777707711,13.140143293983,25.436425125389,207.92077762005,93.724262449009,37.775789473149,261.89,68.468156928882
2015-06-19,121.24306809284,136.78279091757,13.114106021934,25.3156090762,206.55466253876,93.257322121942,37.543466044655,262.51,68.242994450628
2015-06-22,122.21033111633,136.67554852982,13.1314642033,25.482892836616,209.77133067342,93.472114672393,37.617809541773,259.79,68.289903300264
2015-06-23,121.65487314244,136.14908589906,13.270329654227,25.603708885804,211.60250620792,93.182611669611,37.524880170375,267.67,68.083504361866
2015-06-24,122.68917419726,134.87192655407,13.452590558569,25.334196160691,207.75606870954,92.76236537525,37.34831436472,265.17,67.905250733248
2015-06-25,122.10498563852,134.00423814411,13.400516014471,25.129738231294,206.19617843942,92.566250437882,37.190334433344,268.79,67.417398697033
2015-06-26,121.38672101712,134.59894593071,13.36579965174,25.176205942521,206.53528501988,93.051868378032,37.171748559064,267.09,67.66132471514
2015-06-29,119.26065773776,132.28835994016,13.035994205788,24.757996541482,201.18708980803,91.221462295927,36.614172330678,262.02,67.004600820235
2015-06-30,120.11778685264,131.67415353761,13.027315115105,24.692941745765,202.29160838439,91.016008552017,36.456192399302,268.26,66.544894093801
2015-07-01,121.24306809284,133.06830457832,13.009956933739,24.776583625973,203.40581572019,91.959228012694,36.707101702076,269.15,67.436162236887
2015-07-02,121.08983830694,132.97081149855,12.905807845543,24.888106132916,202.6888475215,91.93121159307,36.697808764936,280.02,67.417398697033
2015-07-06,120.66845639571,132.47359679172,12.83637512008,24.451309647387,201.56495142626,91.707080236077,36.632758204958,279.72,68.045977282157
2015-07-07,120.37157368553,136.97777707711,12.888449664177,24.600006323312,201.72966033677,92.379474307055,37.404071987558,267.88,69.228080292987
2015-07-08,117.3835928605,136.39281859848,12.471853311396,24.060980873084,197.70882516844,91.305511554799,37.041647439108,254.96,68.5432110883
2015-07-09,114.98937745582,135.95409973952,12.437136948664,24.181796922273,198.43548212657,91.893856366904,37.097405061946,257.92,68.280521530337
2015-07-10,118.06355003542,139.142123448,12.567323308908,24.414135478406,200.74140687371,92.949141506077,37.534173107515,259.15,68.599501707863
2015-07-13,120.34284310068,140.44853071692,12.706188759836,24.600006323312,203.58021339014,93.640213190137,37.785082410289,262.16,69.312516222332
2015-07-14,120.29495879258,140.32178971322,12.853733301446,24.776583625973,205.55672031626,93.182611669611,38.259022204417,265.65,69.228080292987
2015-07-15,121.45375904845,140.02931047391,12.801658757348,24.878812590671,206.3318210716,93.780295288257,38.221850455858,263.14,69.096735514006
2015-07-16,123.07224866201,140.7117620323,12.645435125055,25.129738231294,204.60722189097,94.424672939611,38.54710325575,266.68,69.265607372696
2015-07-17,124.13528030169,141.0529878115,12.74958421325,25.3156090762,205.84738309951,93.462775865851,38.333365701535,274.66,68.852809495898
2015-07-20,126.48161139827,141.40396289867,12.645435125055,25.222673653747,205.77956178342,93.733601255551,38.454173884352,282.26,68.580738168008
2015-07-21,125.2174656646,141.3064698189,12.593360580957,24.953160928633,204.91726219311,93.705584835927,38.277608078696,266.77,68.242994450628
2015-07-22,119.92146118945,142.71037016759,12.515248764811,24.748702999237,206.61279509541,93.556163931265,38.008112901643,267.87,68.637028787572
2015-07-23,119.86400001974,141.94992414538,12.680151487787,24.404841936161,204.48126801823,93.574841544348,37.952355278805,267.2,68.027213742302
2015-07-24,119.23192715291,141.35521635879,12.489211492762,23.93087128165,200.89642702478,92.594266857506,37.580637793214,265.41,67.15470913907
2015-07-27,117.57513009287,140.63376756849,12.628076943689,24.116742126556,198.63894607485,91.781790688408,37.673567164612,253.01,66.967073740526
2015-07-28,118.15931865161,140.9262468078,12.871091482812,24.256145260236,199.82097472674,92.472862372468,37.682860101751,264.82,67.642561175286
2015-07-29,117.78582104848,141.73543936989,13.331083289008,24.404841936161,200.40230029325,93.135917636904,37.72003185031,263.82,67.76452418434
2015-07-30,117.19205562812,141.65744490607,13.234671772782,24.274732344726,200.75109563315,93.238644508859,37.692153038891,266.79,67.698851794849
2015-07-31,116.16733143492,141.65744490607,12.998025323865,24.256145260236,198.68738987206,93.584180350889,38.175385770159,266.15,67.529979936159
